task_id	is_resolved	native_is_resolved	failure_mode	parser_results	n_input_tok	n_output_tok	agent_dur_s	test_dur_s	n_episodes	recording_path
openssl-selfsigned-cert	UNRESOLVED	False	agent_timeout	test_directory_structure=passed;test_key_file=passed;test_certificate_file=failed;test_combined_pem_file=failed;test_verification_file=failed;test_python_verification_script=failed	0	0	7500.5	0.6	177	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/openssl-selfsigned-cert/openssl-selfsigned-cert.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
overfull-hbox	UNRESOLVED	False	unset	test_main_synonyms_not_modified=passed;test_compilation_successful=passed;test_no_overfull_hboxes=failed;test_input_file_matches=failed	144866	5205	1862.9	0.5	19	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/overfull-hbox/overfull-hbox.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
password-recovery	UNRESOLVED	False	unset	test_recovery_file_exists=passed;test_password_match=failed	38676	3679	91.8	0.6	11	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/password-recovery/password-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
path-tracing	UNRESOLVED	False	unset	test_image_c_exists=passed;test_image_compiles=passed;test_no_deps=passed;test_runs_and_produces_output=passed;test_image_similarity=failed	17721	1990	23.1	0.6	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/path-tracing/path-tracing.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
path-tracing-reverse	UNRESOLVED	False	unset	test_image_c_exists=passed;test_image_compiles=passed;test_image_similarity=failed	12239	1991	30.8	0.7	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/path-tracing-reverse/path-tracing-reverse.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
polyglot-c-py	UNRESOLVED	False	unset	test_fibonacci_polyglot=failed	3061	995	12.4	0.5	2	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/polyglot-c-py/polyglot-c-py.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
polyglot-rust-c	UNRESOLVED	False	agent_timeout	test_fibonacci_polyglot=failed	0	0	7500.2	0.5	145	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/polyglot-rust-c/polyglot-rust-c.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
portfolio-optimization	UNRESOLVED	False	agent_timeout	test_baseline_functionality=passed;test_c_extension_exists=failed;test_correctness_small=failed;test_performance_and_scalability[5000]=failed;test_performance_and_scalability[6000]=failed;test_performance_and_scalability[8000]=failed	0	0	7500.2	0.4	151	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/portfolio-optimization/portfolio-optimization.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
protein-assembly	UNRESOLVED	False	unset	test_gblock - AssertionError: Fusion protein must be in the order flag - donor - dhfr - acceptor=failed	232850	10932	819.7	0.7	19	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/protein-assembly/protein-assembly.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
prove-plus-comm	UNRESOLVED	False	agent_timeout	test_proof_file_exists=passed;test_proof_contents=passed;test_compiled_proof_exists=failed;test_compiled_proof_content=failed	0	0	7500.2	0.8	522	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/prove-plus-comm/prove-plus-comm.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
pypi-server	UNRESOLVED	False	agent_timeout	test_api=failed	0	0	7500.2	1.0	195	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/pypi-server/pypi-server.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
pytorch-model-cli	UNRESOLVED	False	unset	test_weights_file_exists=passed;test_cli_tool_exists=passed;test_prediction_file_exists=passed;test_prediction_file_content=failed;test_cli_tool_executable=failed;test_cli_tool_output=failed	61447	6209	473.4	3.4	10	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/pytorch-model-cli/pytorch-model-cli.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
pytorch-model-recovery	UNRESOLVED	False	agent_timeout	test_weights_file_unchanged=passed;test_model_file_exists=failed;test_model_loads_weights=failed;test_state_dicts_match=failed;test_model_loss=failed	0	0	7500.2	2.6	92	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/pytorch-model-recovery/pytorch-model-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
qemu-alpine-ssh	UNRESOLVED	False	agent_timeout	test_sshpass=failed	0	0	7500.1	76.3	67	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/qemu-alpine-ssh/qemu-alpine-ssh.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
qemu-startup	UNRESOLVED	False	unset	test_version=failed	21413	1700	602.8	2.5	5	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/qemu-startup/qemu-startup.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
query-optimize	UNRESOLVED	False	unset	test_compare_golden_vs_my_sql_query_correctness=passed;test_check_for_db_modifications=passed;test_outputs_match_exactly=passed;test_solution_contains_single_sql_query=passed;test_solution_is_small=passed;test_compare_golden_vs_solution_runtime=failed	4759	1025	10.1	860.9	3	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/query-optimize/query-optimize.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
raman-fitting	UNRESOLVED	False	unset	test_result_file_exists=passed;test_G_Peak=failed;test_2D_Peak=failed	27686	3552	108.5	0.3	7	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/raman-fitting/raman-fitting.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
regex-chess	UNRESOLVED	False	agent_timeout	test_immortal_game=failed;test_game_of_century=failed;test_naroditsky_ivanchuk=failed;test_not_long=failed	0	0	7500.2	0.8	101	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/regex-chess/regex-chess.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
regex-log	UNRESOLVED	False	unset	test_regex_matches_dates=failed	12430	2809	40.0	0.6	5	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/regex-log/regex-log.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
reshard-c4-data	UNRESOLVED	False	unset	test_compress_decompress_workflow=failed	64749	5993	142.8	16.5	9	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/reshard-c4-data/reshard-c4-data.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
rstan-to-pystan	UNRESOLVED	False	unset	test_r_rstan_not_installed=passed;test_output_files_exist=failed;test_alpha_estimation_accuracy=failed;test_sigma_estimation_accuracy=failed;test_rho_estimation_accuracy=failed;test_beta_estimation_accuracy=failed	43006	3884	161.7	0.3	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/rstan-to-pystan/rstan-to-pystan.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
sam-cell-seg	UNRESOLVED	False	unset	test_python_file_exists=passed;test_run_script=passed;test_csv_output_exists=passed;test_csv_shape_cols=passed;test_single_contiguous_mask_per_cell=passed;test_coords_are_flat_lists=passed;test_masks_are_no_longer_rect=failed;test_mask_alignment=failed;test_no_polyline_overlaps=failed	53095	5598	106.7	7.5	7	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sam-cell-seg/sam-cell-seg.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
sanitize-git-repo	UNRESOLVED	False	unset	../../tests/test_outputs.py=failed	57576	3608	2498.9	0.4	14	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sanitize-git-repo/sanitize-git-repo.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
schemelike-metacircular-eval	UNRESOLVED	False	unset	test_interp=failed	148816	25229	1196.0	4.1	8	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/schemelike-metacircular-eval/schemelike-metacircular-eval.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
sparql-university	UNRESOLVED	False	unset	test_sparql_file_exists=passed;test_sparql_runs_without_error=passed;test_sparql_query_results=failed	8078	1165	25.0	0.8	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sparql-university/sparql-university.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
sqlite-db-truncate	UNRESOLVED	False	unset	test_json_data=failed	87683	6064	97.6	0.6	19	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sqlite-db-truncate/sqlite-db-truncate.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
sqlite-with-gcov	UNRESOLVED	False	unset	test_sqlite_compiled=failed;test_sqlite_in_path=failed;test_gcov_enabled=failed	15139	2241	59.1	0.5	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sqlite-with-gcov/sqlite-with-gcov.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
torch-pipeline-parallelism	UNRESOLVED	False	unset	test_pipeline_parallel_exists=passed;test_no_hooks_in_pipeline_parallel=passed;test_pipeline_parallel[1]=failed;test_pipeline_parallel[2]=failed	9505	2044	408.3	36.9	3	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/torch-pipeline-parallelism/torch-pipeline-parallelism.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
torch-tensor-parallelism	UNRESOLVED	False	unset	test_parallel_linear_exists=passed;test_column_parallel_linear[1-True]=failed;test_column_parallel_linear[1-False]=failed;test_column_parallel_linear[2-True]=failed;test_column_parallel_linear[2-False]=failed;test_column_parallel_linear[4-True]=failed;test_column_parallel_linear[4-False]=failed;test_row_parallel_linear[1-True]=failed;test_row_parallel_linear[1-False]=failed;test_row_parallel_linear[2-True]=failed;test_row_parallel_linear[2-False]=failed;test_row_parallel_linear[4-True]=failed;test_row_parallel_linear[4-False]=failed	7080	1616	22.2	22.3	3	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/torch-tensor-parallelism/torch-tensor-parallelism.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
train-fasttext	UNRESOLVED	False	unset	test_accuracy=failed;test_model_size=failed	19599	1972	43.2	1.8	8	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/train-fasttext/train-fasttext.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
tune-mjcf	UNRESOLVED	null	unknown_agent_error		None	None	None	None	552	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/tune-mjcf/tune-mjcf.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
video-processing	UNRESOLVED	False	unset	test_example_video_exists=passed;test_test_video_exists=passed;test_jump_analyzer_imports=passed;test_jump_analyzer_example_video=failed;test_jump_analyzer_test_video=failed	10708	1588	21.5	1.6	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/video-processing/video-processing.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
vulnerable-secret	UNRESOLVED	False	agent_timeout	test_results_file_exists=failed;test_results_file_contains_secret_flag=failed;test_results_file_format=failed	0	0	7500.2	0.4	248	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/vulnerable-secret/vulnerable-secret.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
winning-avg-corewars	UNRESOLVED	False	agent_timeout	test_opponents_integrity=passed;test_warrior_exists=passed;test_warrior_performance=failed	0	0	7500.1	0.4	86	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/winning-avg-corewars/winning-avg-corewars.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
write-compressor	UNRESOLVED	False	agent_timeout	test_compressed_file_exists=passed;test_compression_size=passed;test_decompression_produces_original=failed	0	0	7500.2	0.6	34	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/write-compressor/write-compressor.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
