task_id	is_resolved	failure_mode	parser_results	n_input_tok	n_output_tok	agent_dur_s	test_dur_s	n_episodes	recording_path
openssl-selfsigned-cert	unresolved	unset	test_directory_structure=passed;test_key_file=passed;test_certificate_file=passed;test_combined_pem_file=passed;test_verification_file=failed;test_python_verification_script=failed	223554	5598	116.6	0.5	42	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/openssl-selfsigned-cert/openssl-selfsigned-cert.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
overfull-hbox	unresolved	unset	test_main_synonyms_not_modified=passed;test_compilation_successful=passed;test_input_file_matches=passed;test_no_overfull_hboxes=failed	149815	3559	71.1	0.8	22	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/overfull-hbox/overfull-hbox.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
password-recovery	unresolved	unset	test_recovery_file_exists=passed;test_password_match=failed	290038	6230	139.3	0.6	35	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/password-recovery/password-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
path-tracing	unresolved	unset	test_image_c_exists=passed;test_image_compiles=passed;test_no_deps=passed;test_runs_and_produces_output=passed;test_image_similarity=failed	53037	2697	40.6	1.3	16	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/path-tracing/path-tracing.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
path-tracing-reverse	unresolved	unset	test_image_c_exists=passed;test_image_compiles=passed;test_image_similarity=failed	426475	6169	92.6	0.6	34	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/path-tracing-reverse/path-tracing-reverse.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
polyglot-c-py	unresolved	unset	test_fibonacci_polyglot=failed	452649	9208	187.4	1.2	42	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/polyglot-c-py/polyglot-c-py.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
protein-assembly	unresolved	unset	test_gblock=failed	398165	12612	194.7	1.9	34	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/protein-assembly/protein-assembly.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
pytorch-model-cli	unresolved	unset	test_prediction_file_exists=passed;test_prediction_file_content=passed;test_weights_file_exists=failed;test_cli_tool_exists=failed;test_cli_tool_executable=failed;test_cli_tool_output=failed	319775	9752	201.7	3.8	32	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/pytorch-model-cli/pytorch-model-cli.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
pytorch-model-recovery	unresolved	unset	test_weights_file_unchanged=passed;test_model_file_exists=failed;test_model_loads_weights=failed;test_state_dicts_match=failed;test_model_loss=failed	1635074	25616	512.4	2.7	55	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/pytorch-model-recovery/pytorch-model-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
qemu-alpine-ssh	unresolved	unset	test_sshpass=failed	195070	5908	136.0	0.5	36	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/qemu-alpine-ssh/qemu-alpine-ssh.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
qemu-startup	unresolved	unset	test_version=failed	70706	3642	102.0	3.0	20	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/qemu-startup/qemu-startup.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
query-optimize	unresolved	unset	test_compare_golden_vs_my_sql_query_correctness=passed;test_check_for_db_modifications=passed;test_outputs_match_exactly=passed;test_solution_contains_single_sql_query=passed;test_solution_is_small=passed;test_compare_golden_vs_solution_runtime=failed	61657	2711	55.4	894.4	17	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/query-optimize/query-optimize.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
raman-fitting	unresolved	unset	test_result_file_exists=passed;test_G_Peak=failed;test_2D_Peak=failed	160192	6677	136.1	0.4	21	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/raman-fitting/raman-fitting.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
regex-chess	unresolved	context_length_exceeded	test_not_long=passed;test_immortal_game - AssertionError: Position: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq=failed;test_game_of_century - AssertionError: Position: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq=failed;test_naroditsky_ivanchuk - AssertionError: Position: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq=failed	None	None	6017.4	0.8	1016	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/regex-chess/regex-chess.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
regex-log	unresolved	unset	test_regex_matches_dates=failed	372809	11054	204.2	0.7	35	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/regex-log/regex-log.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
reshard-c4-data	unresolved	unset	test_compress_decompress_workflow=failed	350630	6119	151.1	24.8	33	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/reshard-c4-data/reshard-c4-data.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
rstan-to-pystan	unresolved	unset	test_r_rstan_not_installed=passed;test_output_files_exist=failed;test_alpha_estimation_accuracy=failed;test_sigma_estimation_accuracy=failed;test_rho_estimation_accuracy=failed;test_beta_estimation_accuracy=failed	1519094	18246	304.1	0.4	102	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/rstan-to-pystan/rstan-to-pystan.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
sam-cell-seg	unresolved	unset	test_python_file_exists=passed;test_run_script=passed;test_csv_output_exists=passed;test_csv_shape_cols=passed;test_masks_are_no_longer_rect=failed;test_mask_alignment=failed;test_no_polyline_overlaps=failed;test_single_contiguous_mask_per_cell=failed;test_coords_are_flat_lists=failed	548525	10244	428.2	189.6	32	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sam-cell-seg/sam-cell-seg.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
sanitize-git-repo	unresolved	unset	../../tests/test_outputs.py=failed	453628	8107	164.8	0.7	38	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sanitize-git-repo/sanitize-git-repo.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
schemelike-metacircular-eval	unresolved	unset	test_interp=failed	463314	10290	182.3	4.4	38	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/schemelike-metacircular-eval/schemelike-metacircular-eval.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
sparql-university	unresolved	unset	test_sparql_file_exists=passed;test_sparql_runs_without_error=passed;test_sparql_query_results=failed	51041	2978	53.5	1.3	15	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sparql-university/sparql-university.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
sqlite-db-truncate	unresolved	unset	test_json_data=failed	55753	3126	65.3	0.4	17	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sqlite-db-truncate/sqlite-db-truncate.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
sqlite-with-gcov	unresolved	unset	test_sqlite_compiled=failed;test_sqlite_in_path=failed;test_gcov_enabled=failed	923949	12351	267.0	0.8	70	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sqlite-with-gcov/sqlite-with-gcov.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
torch-pipeline-parallelism	unresolved	unset	test_pipeline_parallel_exists=passed;test_no_hooks_in_pipeline_parallel=passed;test_pipeline_parallel[1]=failed;test_pipeline_parallel[2]=failed	106302	4783	87.1	52.6	18	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/torch-pipeline-parallelism/torch-pipeline-parallelism.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
torch-tensor-parallelism	unresolved	unset	test_parallel_linear_exists=passed;test_column_parallel_linear[1-True]=failed;test_column_parallel_linear[1-False]=failed;test_column_parallel_linear[2-True]=failed;test_column_parallel_linear[2-False]=failed;test_column_parallel_linear[4-True]=failed;test_column_parallel_linear[4-False]=failed;test_row_parallel_linear[1-True]=failed;test_row_parallel_linear[1-False]=failed;test_row_parallel_linear[2-True]=failed;test_row_parallel_linear[2-False]=failed;test_row_parallel_linear[4-True]=failed;test_row_parallel_linear[4-False]=failed	109556	4527	97.7	20.0	20	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/torch-tensor-parallelism/torch-tensor-parallelism.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
train-fasttext	unresolved	unset	test_model_size=passed;test_accuracy=failed	751049	8472	443.5	1.1	67	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/train-fasttext/train-fasttext.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
tune-mjcf	unresolved	context_length_exceeded	test_model_ref_unchanged=passed;test_tuned_model_exists=passed;test_correctness=passed;test_model_speed=failed	None	None	4871.9	23.1	1110	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/tune-mjcf/tune-mjcf.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
video-processing	unresolved	context_length_exceeded	test_example_video_exists=passed;test_test_video_exists=passed;test_jump_analyzer_imports=passed;test_jump_analyzer_example_video=failed;test_jump_analyzer_test_video=failed	None	None	5596.7	1.3	1850	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/video-processing/video-processing.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
vulnerable-secret	unresolved	unset	test_results_file_exists=passed;test_results_file_format=passed;test_results_file_contains_secret_flag=failed	241030	5185	123.6	0.6	36	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/vulnerable-secret/vulnerable-secret.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
winning-avg-corewars	unresolved	context_length_exceeded	test_opponents_integrity=passed;test_warrior_exists=passed;test_warrior_performance=failed	None	None	4988.1	1.3	876	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/winning-avg-corewars/winning-avg-corewars.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
write-compressor	unresolved	unset	test_compressed_file_exists=passed;test_compression_size=passed;test_decompression_produces_original=failed	202858	7783	144.2	0.9	32	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/write-compressor/write-compressor.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
